,Sentences
59,eshowe yidolobha elidala elaqala ukuhlala abelungu baseyuropha kwazulucndatenovember  igama elithi eshowe kuthiwa latholaleli gama ngenxa yomsindo wesivunguvungu somoya oshaya khona olinganiselwa kwisivinini esingunbspkmehlathini lemveloelaziwa ngokuthi yihlathi ledlinza forest leli hlathi yiyonanto egqame kakhulu ngaleli dolobha ngisho noma igama le dolobha lisuselwa olwimini lwesiisizuluzulu kodwa yigama lamahlamvanaexysmalobium ishowenoma ishongwe
60,encwadini yami theophilus ngikubhalile ngakho konke akwenzayo nangemfundiso kajesu kuze kube yilapho ephakanyiselwa ezulwini emva kokuyala abafundi ngomoya ongcwele emva kokudideka kwakhe wabonakala kubo abazinikeza ubufakazi bokungaqiniseki ukuthi uyaphila ngempela wabonakala kubo izinsuku ezingamashumi amane ekhuluma ngombuso kajehova ngesinye isenzakalo lapho edla nabo wabanika lo myalo qhubeka ulindele isipho ubaba esithembisile engikhulume ngaso
61,usolwazi cyril lincoln sibusiso nyembezi  zibandlela    nhlangulana  wabe engumbhali wazincwadi zesizuliu engusonkondlo enguthisha aphinde abe ngumhleli waseningizimu  afrika unyembezi waziwa kakhulu ngencwadi ayibhala ayabe yazinwa ngokuthi inkinsela yasemgungundlovu eyaba yisasa elikhulu yaze yaphendulwa umsakazoumdlalo womoya kanye umabonakudenowamabonakude  
62,inkalane ilatin aloe arborescens noma umhlabane uhlobo lwesihlahla olubizwa ngokuthi inhlaba esimila kwazulunatali empumalanga kanye nase limpopo esisetshenziswa ngabalephi bendabuko ukwelapha lesi sihlahla sinamahlamvu amade aqinile aluhlaza cwe acijile emachosheni uma sekusondele ubusika ngenyaka kanhlaba kuze kube nguntulikazi lesi sihlahla sikhipha izimbali ezinombala okhangayo lezi zimbali zinebala egqmile okubalwa kuyo obomvu kanye nophuze kanti zithandwa kakhulu izinyosi kanye nezinyoni ngoba zithanda umpe oluthokala kulezi zimbali 
63,imfundo eshayina iyinqubo yemfundo eqhutshwa wumbuso kanti ingaphansi khwehhovisi likangqongqoshe wezemfundo zonke izakhamizi kumele ziye esikoleni iminyaka eyisishagalolunye eyeziwa njengemfundo ephoqelelayo kanti futhi ithola imali evela kuhulumeni le nqubo ibandakanya iimfundo yeprayimari eqala lapho izingane zineminyaka eyisithupha noma eyisikhombisa kanye neminyaka emithathu yemfundo yezinga eliphansi lesekondari isikole esiphakathi naphakathi kwiminyaka engu  ukuya kwengu  amanye amaprovinsi anemfundo yeprayimari yeminyaka emihlanu kodwa iminyaka emine yenziwa esikoleni esiphakathi naphakathi ngemuva kokuqeda imfundo yesikole esiphakathi naphakathi kuneminyaka emithathu yesikole esiphakeme esibandakanya imfundo yesekondari ihhovisi likangqongqoshe wezemfundo libika ukuthi cishe kunokungenwa kwesikole kwezinga elingamaphesente angu  esikoleni seprayimari kanti amaphesente angu  esikole esiphakathi naphakathi
64,king edward masinga   owayebuye aziwe ngokuthi shobane ka mangethe abuye azinwe ngokuthi umfana wekheshi  wabe uthishaenguthisha owaphenduka owomafrika wokuqala ukwethula izinhlelo izinhlelo emsakazweni emlandweni waseningizimu afrika umasinga ungomunye wabasakazi bokuqala ukusakaza esiteshini sesizulu asabe saziwa ngokuthi ukhozi fmiradio zulu ngaphandle kokusakaza wayebuye abe ngumqambi wamaculo ayewabhala ngolimi lwesizuluwayebuye abe ngumbhidisi weqembu lomculo ikwaya alabe lisungulwe nguye ukuze licule amaculo ayewaqambile 
65,basepagenamee noma isafa yiyona nhlangano kazwelonke yebhola eningizimu afrika isafa yasungulwa ngo isouth african football association iyona eyesibili yebhola lefootball association eningizimu afrika ezobizwa ngokuthi iningizimu afrika yenhlangano yenhlangano yebhola yaseningizimu afrika futhi iyinhlangano yesibili yebhola esouth africa ukuze ihlanganyele nefifa usuku lwamanje isouth african football association ngokungafani nalokho okushiwo ngaphambili livumela ithimba likazwelonke elihlangene
66,iningizimu afrika inama holide omphakathi ayi asemthethweni agujwa minyaka yonke nangesikhathi sobandlululo kukhona amaholide akade egujwa aphinde aqhubeka ukuthi agujwe emva konyaka we amaningi ayegujwa ngalesi sikhathi achithwa wonke  iningi lamaholide agujwa eningizimu afrika aba semthethweni emva konyaka we ngenkathi iningzimu afrika ithola inkululeko amaholide amaningi aseningizimu afrika aqala ukugujwa emva konyaka we ngesikhathi umthetho sivivinywa wamaholide omphakathi uvunyelwa uphalamende ngonyaka we
67,umkhosi womhlanga umkhosi lapho izinkulungwane zezintombi zamazulu zihlangana khona enyokeni esigodlweni sengonyama yamazulu ngomandulo unyaka nonyaka umkhosi womhlanga isiko lokukhuthaza ubumsulwa ezintombi nokuhlonishwa kwabesifazane abasebashakanye baye befundiswe nokuhlonipha bobuntombi
68,intwasahlobo isikhathi sonyaka emva kobusika lapho sekuqala khona ukunetha izimvula nemvelo okubalwa kuyo utshani nezihlahla ziba luhlaza zibe nezimbali ezinhle ngaso lesi sikhathi futhi izimbali ziyaqhakaza kulesi sikhathi ngoba kususke sekukhona izimvula abantu babuyela emasimini baye kolima
69,ihlobo isikhathi sonyaka lapho kuluhlaza yonke indawo kanye nelanga lisuke lingazibekile phansi lisuke lishisa likhipha umkhovu etsheni kulesi sikhathi sonyaka kuba khona izimvula eziningi ezihmbisana nokuduma kwezulu ngesikhathi sehlobo abantu bavakeshela olwandla besuke beyozipholisa ngoba ilanga lisuke lishisa likhipha inhlanzi emanzini ngesikhathi sehlobo kubuye kube khona izinambuzane eziningi  ngoba amahlathi kanye notshani kusuke sekukhule kakhulu izinambuzane eziba khona kubalwa amaqgwagi izicabucabu amabhungezi kanye nezinye ezinimgi izinyoka nazo zibonaka kakhulu ngaso lesi sikathi 
70,inkwindla isikhathi sonyaka lapho sekudlula khona ihlobo nezimvula seziqala ukuba yidlala izulu lisuke selingenisa amakhathaza asebusika kuvuthuka kwamaqabunga ezithombo ngenxa yokuthi kusuke seukqala imimoya iheleza nzimvula sezinqala ukuba yingcosana ngalesi sikhathi futhi kusuke sekudliwa ukudla okude kutshaliwe entwasashlobo 
71,ubusika isikhathi sonyaka lapho kusuke sekume khona kukhona nemimoya emikhulu ngalesi sikhathi sonyaka amazinga okushisa aba phansi kakhulu kuyabanda izindawo ezsiningi ziyakhithika kulale iqhwa njengoba kusuke kubanda kakhulu amazinga okushis aephansi izinmbuzane eziningi kanye nezlwane ezifana namaxoxo nezinyoka ziyacasha ngoba zizwana namakhaza izihlahla ziphunyelwa amahlamvu kanti utshani buyasha ngoba phela izmvula zisuke zezingani  ubuhlaza bemvelo buyaphela 
72,uncibijane okanye usuku lonyaka omusha iholide lapho umhlaba wonke usuke ubungaza ukuqala konyaka omusha   ngokwesibalizinsuku segregorian lolu suku lugujwa mhla zi kumasingana minyaka yonke ngalolu suku kuba khona imugubho eminingi emhlabani wonke jikelele lolu suku lubalulekile ngoba lihlanganisa abantu abaningi uma lubungazwa amazwe amaningi alugubha ngezindlela ezahlukahlukene lolu suku 
73,ubhanana isithelo esidliwayo esingenzazo ezinhlamvu esimila ezindaweni ezinamanzi amaningi amakhasi kabhanana aba nombala oluhlaza uma ungakalungele ukudliwa lapha usuke usaluhlaza kuthi lapho amakhasi awo ubhanana eba nombala ophuzi usuke usuvuthiwe lpaha usuke usukulungele ukudliwa 
74,masikandi umculo owasungulwa eningizimu  afrika oculwa ngolimi lwesiisizuluzulu lona umculo odlwalwa kakhulu ngesigincgcilo lu hhlobo lomculo ludume futhi luthandwa kakhulu esifundazweni sakwazulu natali okudala lokhu ukuzinza kwesizwe samazulu kulesi sifundazwe yize umculo kamaskandi udume kakhulu esifundazweni sakwazulunatali ubuye uzwakale udlala kakhulu egoli kanye nasekapa udlalwa ngamazulu kulezi zindawo yize llu hlobo lomculo selinedumela esikhathini samanje kususkela kudala wabe uthathwa njengomculo wabelusi bezinkomo ngabantui basemadolobheni okanye emalokishini abantu ababenza lolu hlobo lomculo babebukelwa phansi nawo lomculo ukhuzani nguye oseyinkosi kamaskandi
75,iorkney snork nie umdlalo wamahlaya owasakazwa ku sabc kusukela nge futhi uyaphindaphindwa kwidstv kwa kyknet kusukela nge  lo mdlalo ukhuluma ngokuhamba komndeni wakwavan tonder ohlala edolobheni elihle kakhulu lase orkney   amalungu omndeni nguhendrik maggie ouboet noyolanda oupa wimpie nodadewabo uhess  amahlaya angaphansi kokungathembi ukucabangela kanye nobuwula babavukuzi abavezwayo 
76,njengomkhiqizo wesifiso sokuqamba imibhalo yesizulu entsha yamazwi ababhali amasha izinkanyezi ezintsha inezindaba ezimfishane eziyisikhombisa futhi njengeqoqo lokuqala lezindaba zobunsumansumane besimanje esizulwini izinkanyezi ezintsha iyakhombisa ukuthi ubucikomazwi besizulu bujulile nokuthi buyathungatha imikhondo emisha lokho kuzofakazeka emzansi weafrika nasemhlabeni wonke
77,uemma sandile  owaziwa nangokuthi nguprincess emma wayeyindodakazi yenkosi  abantu basegaikayasengqika  umgolombane sandileumgolombane sandile  wafundiswa amabritane ecape colony kwathi ngemuva kwalokho waba ngumnikazi womhlaba mhlawumbe waba ngowesifazane wokuqala omnyama ukubamba isihloko seningizimu afrika
78,abantu baseningizimu afrika baseeshiya baqukethe abantu kanye nabomdabu baseasia abahlala eningizimu afrika njengamanje kubhekiselwa ikakhulu kumandiya aseasia kepha kungenzeka ukuthi leli gama libuye lisho umphakathi waseirani noma inani elincane lamashayina aseningizimu afrika
79,uphilemon pearce dumasile nokwe  kunhlaba  evaton  nge kumasingana ngo owayesaziwa njengoduma nokwe wayengumntu olwela umzabalazo kwezopolitiko waseningizimu afrika mzantsi afrika wasebenza njengonobhalajikelele weafrican national congress ukusukela ngo ukuya ku ngenxa yegama lakhe uyidlalile indima yokuthi abe yisizathu soshintsho lwase ningizimu afrika ngesikhathi sobandlululo ngosizo lwabo thishela bakhe futhi nabaholi phambili ngisho yena uoliver tambo nowalter sisulu uyidlalile indima yakhe ebalulekile ephikisana nokuphambene nomthetho kamongameli owayephethe wayezimisele ngokuthi aphile ngenkululeko ezweni leli azalelwe kulo wayengavumelani nomthetho lona owawungamphilisi ngenkululeko futhi ongamjabulisi
80,claudia letizia owaziwa nangokuthi lady letizia owazalwa mhla zi kundasa  epompei ungumlingisi umdansi uzime umlingisi wakumabonakude kanye nomsakazo uyaziwa ngokuzibandakanya ochungechungeni lweshumi nambili lwangempela libonisa ugrande fratello uhlobo lwaseitaly lukabig brother
81,upotlako kitchener leballo  kadisemba   januwari  wayengumntu waseafrika okhokela ipan africanist congress de kwangowe uleballo wayengumseki webasutoland african congress ngo kunye nomlobi weworld war ii kunye nomphathi wesikolo samabanga aphantsi
82,upixley ka isaka seme c    juni  wayengomunye wabameli abamnyama baseningizimu afrika ualfred mangena wayengummeli wokuqala omnyama uduma nokwe ummeli wokuqala omnyama kanye nomsunguli nomongameli wamaafrika inational congress
83,uthenjiwe mtintso wazalwa ngomhlaka  lwezi esoweto johannesburg lapho akhulela khona unina uhanna mtintso ubesebenza ezindlini kanti ubaba wakhe ugana makabeniwas ubengumbhali kwezentengiselwano futhi eyilungu leafrican national congress anc umtintso wabhekana nezinkinga zezezimali ezazibeka phansi imfundo yakhe ngenxa yalokho waphoqeleka ukuba ashiye isikole futhi asebenze ngokugcwele emafektri ahlukahlukene ukuze axhase izifundo zakhe zesikhashana esikoleni samabanga aphakeme naseuniversity of forthare
84,uruth first  meyi    agasti  wayeyisishoshovu saseningizimu afrika esasilwa nobandlululo nesazi sasegoli eningizimu afrika ubeyindodakazi ka jewwish immigrants julius no matilda first ujulius ubeyi furniture manufacture wazalwa elavitvia bese wazohlala eningizimu afrika ngonyaka ka eneminyaka eyishumi umatilda yena weza eningizimu afrika esukabelithuania eseneminyaka yesine bobabili bebayingxenye yecommunist party south africa ngonyaa uruth ubenomfowabo abambiza ngoronald bakhule bobabili ndawonyeuruth wenza ibanga leshumi nabili ejeppe high school lapho kufunda amantombazane wondwa  wathi eqeda ukufunda esikoleni wafunda umatikuletsheni ewitwaterstand johannesburgsukela ngonyaka  ukuya kunyaka   waqeda ne ba social studies wathola isikhundla sokuqala isifundo sesocialogy  anthropology kanye ne economic histroy wayefunda nonelson mandela eduardo mandlana joe slovo  tn singh and ismail
85,uteboho tsietsi macdonald mashinini owazalwa ngo januwari    ecentral western jabavu soweto esouth africa washona ehlobo ngo econakry igini wangcwatshwa uavalon cemetery wayengumholi wabafundi ophambili wesungeto uprising eyaqala phakathi isoweto futhi yasakazekela iningizimu afrika yonke ngojuni 
86,uzola sidney themba skweyiya nge kaepreli ngo ukuya nge kaepreli ngo wayepolitiki yomzantsi afrika owayengumphathiswa wezabasebenzi bakarhulumente nolawulo ukusukela ngo ukuya ku kunye nomphathiswa wophuculo loluntu ukusukela ngo ukuya ku
87,upallo zweledinga jordan wazalwa nge kameyi ngo eb indawo ekroonstad eorange free state utata wakhe ugqr archibald campbell jordan wayengumntu wasenoveli eyunivesithi kunye nezemfundo kwaye umama wakhe ugqirha priscilla phyllis jordan wazalwa untantala wayengutitshala umphandi kunye nomhlohli bobabini abazali bakhe babengamalungu asebenzayo euneuropean unity movement neum usapho lakwajordane lwalupolitika kakhulu kwaye ulandela emanyathelweni abo waqala eneminyaka esixhenxe ngokuthengisa iikopi zetorch iphephandaba eliveliswa yineum wayengumfundi okhutheleyo ukugqiba kwakhe ukufunda waya kwiiyunivesithi ezahlukeneyo emzantsi afrika emelika nasemelika walishiya ilizwe ngo esiya kufunda kwidyunivesithi yasewisconsin eus uye wafumana izidanga ezininzi kubandakanya nesidanga sokuthweswa isidanga kwisikolo selondon economics
88,ubrigitte mabandla wazalwa zingama kulwezi ngo maphakathi nawos wasebenza njengomxhumanisi wobusha einstitute of race relations ethekwini kodwa washiya iningizimu afrika waya ezambia lapho athola khona iziqu zakhe zellb phakathi konyaka we nowe wafundisa isingisi nomthetho ebotswana polytechnic kanti kusukela ngo kuya ku wafundisa ngezomthetho ebrazil institute of administration and commerce kusukela ngo kuya ku wasebenza njengomeluleki wezomthetho emnyangweni wezindaba zomthetho kanye nezomthethosisekelo weanc ngalesi sikhathi wabhekisisa ngamalungelo ezingane amalungelo abantu kanye nezomthethosisekelo
89,uabdul kader asmal  okthoba    juni  wayengusopolitiki waseningizimu afrika owazalelwa kwelasendiya wayenguprofesa wamalungelo abantu enyuvesi yasewestern cape engusihlalo womkhandlu wenyuvesi yasenyakatho kanye nomsekeli kamongameli weafrican association of international law wayeshade nolouise parkinson futhi wayenamadodana amabili
90,usathyandranath ragunanan mac maharaj owazalwa ngo ephreli  enewcastle kwazulunatal usopolitiki waseningizimu afrika oxhumene neafrican national congress yezemfundo nosomabhizinisi odabuka kwelasendiya ungomunye okhulumela umengameli waseningizimu afrika ngokusemthethweni ujacob zuma
91,upatricia de lille usopolitiki waseningizimu afrika owazalwa mla ziyi kufebruwari   ungqongqoshe wezemisebenzi yomphakathi nezingqalasizinda south africaongungqongqoshe wezemisebenzi yomphakathi nezingqalasizinda nomholi weqembu lezepolitiki igood  wayengumngane ngaphambilini  imeya yasekapaimeya yasekapa kusuka  kuya  futhi  hulumende wasenshonalanga kapacape ungqongqoshe wesifundazwe western wentuthuko yezenhlalakahle kusuka  kuya  wasungula futhi wahola i  iindependent democrats south africaindependent democrats id iqembu lezepolitiki abelisungula ngonyaka ka ngesikhathi ewindi  ukuwela phansi iningizimu afrikaeliwela indawo ngemuva kokuhlukana  ipan africanist congressnepan africanist congress pac ngoagasti  umazisi wahlangana  idemocratic alliance south africanedemocratic alliance  idemocratic alliance south africaiqembu eliphikisayo laseningizimu afrika  futhi iqembu lahlakazwa ngokusemthethweni ngonyaka we kusukela ngo kuya ku ubengumholi wesifundazwe wedemocratic alliance ewestern cape
92,albert john mvumbi luthuli wazalelwa e solusi mission station e zimbabwe wazalwa ngo  ubabawakhe ngu john bunye luthuli ualbert john wayeyi ngane ye nkosi egroutville e mvoti mission reserve ngase stanger enatali waba yi christian missionary nge langa lesikhombisa esontweni elibizwa ngeadventist wayengumtoliki endaweni yase matabele erhosedia umama wakhe kwaku ngumtonya gumede futhi wayechitha isikhathi esiningi endlini kacetshwayo ka mpande wayeyi nkosi yombuso wakwazulu kodwa futhi wayeyingane yesithathu
93,ujudith mason owazalwa ujudith seelander menge  okthoba  ipitolipretoria   kuzibandlela  white river wayengumculi waseningizimu afrika obesebenza kwezamafutha ipensela ukuprinta ukushicilela nezindaba ezixubile umsebenzi wakhe ucebile ngokufanekisela kanye nemythology ekhombisa ubuciko obunqabile bobucwepheshe  
94,itsda yidolobhana elisentshonalanga yecyprus  itholakala esifundeni saseeparcha pfou engxenyeni esentshonalanga yezwe amakhilomitha angama entshonalanga yenhlokodolobha yasenicosia namakhilomitha ayi ngasenyakatho kwepaphos  itsda ngamamitha ayi ngaphezulu kwezinga lolwandle  inezakhamizi eziyi
95,uharry potter nedwala likafilosofi iyinoveli ngowesifazane wasebrithani ujoanne rowling bekuyincwadi yakhe yokuqala le ncwadi imayelana nomfana ongumthakathi oya esikoleni semilingo futhi enze abangane abathile ishicilelwe ngonyaka we yalandelwa ezinye izincwadi eziningi zikaharry potter
96,uharry potter nechamber yezimfihlo yincwadi yesibili ezincwadini zikaharry potter kajoanne rowling wasebrithani incwadi iyindlela elandelanayo kweyokuqala kule ncwadi uharry uphenya ngokubanjwa nokugula kwalabo abangazalwa ngocansi lomthakathi
97,uharry potter kanye nomgcini wejele waseazkaban incwadi eyindumezulu kajoanne rowling wasebrithani futhi incwadi yesithathu ukufaka uharry potter kule ndaba uharry uhlangana nesiboshwa esiyingozi somlingo omnyama futhi afunde ukuhamba isikhathi
98,uharry potter kanye nendebe yomlilo iyinoveli emnandi ebhalwe ngujoanne rowling umbhali wasebrithani futhi ungunombolo wesine ezincwadini zomlobi weharry potter odumile kuyo uharry kufanele ancintisane kumncintiswano womncintiswano futhi abhekane nemfihlakalo emangalisayo
99,uharry potter kanye nabantu basephoenix iyincwadi yesihlanu ochungechungeni oluhle kakhulu lweharry potter lwezingane ngowesifazane wasebrithani ujoanne rowling kulandela upotter njengoba ebhekene nezivivinyo zakhe zesikole kanye nokubuya kwenkosi emnyama ebeka konke engcupheni
100,uharry potter kanye nohhafu wegazi lenkosi iyinoveli emayelana nokuqagela ebhalwe ngowesifazane wasebrithani ujoanne rowling olandelayo olandelayo wokugcina ochungechungeni lweharry potter lwezingane le noveli ibheka izisulu zabalingiswa abaningi futhi ifaka impi enkulu nenkosi emnyama
101,uharry potter kanye namahallows hallows kwakuyinoveli emnandi ngomlingo eyabhalwa ngumlobi ujoanne rowling wasebrithani owokugcina ochungechungeni lwewizard kaharry potter le noveli idingida yonke imicimbi evela ezincwadini eziyisithupha zokuqala futhi igxile empini enkulu yokuqeda phakathi kukapotter nenkosi emnyama
102,udaniel radcliffe ungumlingisi wasengilandi owazalwa ngo ungumdlali odumile kunabo bonke kaharry potter kumafilimu wizadi kaharry potter aqhamuka ezincwadini zabaphatheli bakaharry potter zikajoanne rowling uqale wadlala eneminyaka eyishumi nanye kanti uharry wayeneminyaka eyishumi ngemuva kwalokho wabonakala kwamanye amafilimu amaningi njengomuntu okhulile futhi uke wenza nemidlalo yeshashalazi isiteji nomculo ugxekwa kahle futhi unikeze imali yakhe ekupha
103,izimpi zezinkanyezi ezaziwa emazweni angamangisi njengestar wars futhi kamuva ezazibiza ngokuthi izimpi zezinkanyezi  ukuza okusha kuyifilimu lesikhala esivela ngo yize kuyifilimu yokuqala ukwenziwa ezimpini zeplanethi yasestar yona ifilimu lesine kusaga ababamba indawo kukhona umark hamill ucarrie fisher uharrison ford noalec guinness
104,izimpi zenkanyezi umbuso uphinde ushaye futhi ngesingisi njengestar wars the empire strikes back kuyifilimu lesayensi lespace opera futhi ukulandelwa kwesokuqala kuboniswe ngo kwakuyifilimu yenombolo yesibili lapho kukhululwa kodwa ifilimu linombolo yesihlanu ngokulandelana kwezikhathi umark hamill usefilimini
105,izimpi zenkanyezi ujedi woza ukuzolwa noma star wars return of jedi njengoba kunjalo emadodeni esingisi yifilimu yasendaweni yeopera yango neyokugcina kwezimpi zokuqala zezinkanyezi ezintathu kepha kungokwesithupha ngokulandelana kwezikhathi umark hamill harrison ford nocarrie fisher badlala kwifilimu
106,indaba yamathoyizi iyifilimu yamahlaya asemelika ahamba kathathu oshukumisayo kapstrong kanye notom hanks njengomlingisi omkhulu ifilimu igxile ezweni lomlingo lapho amathoyizi ahlala khona ngobuchopho bomuntu kanye namavocalisations amahanks adlala inkomo elwela uthando lomfana ngeastronaut yesikhala
107,indaba yesibili yamathoyizi ulandelana lwango lwangempela indaba yamathoyizi kuyisithombe esishukumisayo esishukumisayo esishukumisayo esivela kupstrong le filimu imayelana nenkabi uthomas hanks eyebiwe futhi ahlangane nayo nentokazi enkulisa kanye nomnyuziyamu osentshonalanga unyaka okhanyayo wokukhanya usiza ukubasindisa esihogweni saphakade
108,indaba yesithathu yamathoyizi ifilimu lesithathu kusuka indaba yamathoyizi ngonyaka ka kuyisithombe sefilimu esishukumisayo sobukhulu bepstrong lokhu kukodwa ekunikezeni ngephutha ngamathoyizi amaningi kufaka necowboy eyaziwa njengotom hanks nomngani wakhe osendaweni endlini yezingane edlala umnikazi wazo usegugile manje futhi kumele abuyele ngaphambi kokuba anyamalale esikoleni kepha ibhere epinki izama ukubashisa
109,indaba yesine yamathoyizi iyona filimu entsha kunazo zonke ezisebenza ngecomputer ezintathu ubukhulu kusuka ku indaba yamathoyizi futhi yenziwa ngonyaka ka istudiyo sepstrong inombolo yesine futhi ifaka utom hanks eqenjini indaba ingemva kwefilimu yokugcina futhi ibona lo mfanyana osiza isipuni sepulasitiki noma imfoloko iphile impilo yakhe yangempela
110,igama lokuhweba igama lokuhweba noma igama lebhizinisi igama elisetshenziswa yizinkampani ezingafuni ukusebenza ngaphansi kwegama labo elibhalisiwe igama lalolu hlobo lwegama elihlukile igama lebhizinisi eqanjiwe ukubhalisa igama elingelona iqiniso nenhlangano kahulumeni efanelekile kuyadingeka kaningi
111,icannabidiol cbd iyiphytocannabinoid eyatholakala ngo ingenye yezingama ezikhonjwe ngamacannabinoids ezitshalweni zecannabis namaakhawunti afinyelela ku kokukhishwa kwesitshalo ngo ucwaningo lomtholampilo ngecannabidiol lufake nezifundo zokuqala zokukhathazeka ukuqonda ukuphazamiseka kokuhamba nobuhlungu 
112,unompumelelo mqwebu ungumpheki nombhali iriphabliki yaseningizimu afrikawaseningizimu afrika ubhala ngokudla kwimail  guardian nakwisunday times nakwamanye amaphephandaba  ngo ushicilele ibhuku through the eyes of an african chef leli bhuku liwine umklomelo omuhle emhlabeni wonke  i gourmand cookbook awards 
113,ugraa machel owazalwa ngo okthoba  usopolitiki futhi usizakala ngabantu basemozambiki ungumfelokazi womabili omongameli bangaphambili basemozambiki naseningizimu afrika umongameli wasemozambiki usamora machel kanye nomongameli waseningizimu afrika unelson mandela
114,ubarbara mosima joyce masekela wazalwa ngomhlaka  kujulayi  egoli wayengowesibili ezinganeni ezine azalelwa upauline nothomas selema masekela umama wakhe wayengusonhlalonhle esikhungweni somndeni ealexander kanti ubaba wakhe wayengumhloli wezempilo futhi engumbazi wengqephu wesikhashana ubarbara wakhulela ewitbank ngaphansi kokubuka ugogo wakhe waze wabuyela ealexander township ngo wakhulela emndenini ohlonipha ezombusazwe waya eanglican primary school ewitbank nasest michaels anglican school ealexander ngo wabhalisa enanda girls seminary boarding school ethekwini lapho aphothula khona umatikuletsheni wakhe ngo esikoleni samabanga aphansi baba nethuba lokuhlangana nabaholi bezenhlalo nezepolitiki abanjengomongameli weafrican national congress anc uchief albert luthuli
115,maya christinah xichavo wegerif uzalwe ngezi  nhlaba  ngomusebenzi uwaziwa ngo sho madjozi ungumculi nombhali wezingoma ezidumile eiriphabliki yaseningizimu afrikaningizimuafrika ungumlingisi aphinde aziwe ngokuhaya izinkondlo uqokwe nje ngomlingisi ohamba phambili eiriphabliki yaseningizimu afrikaningizimuafrika umadjozi ukwazi ukuhlanganisa usiko lwake lwesitsonga ezingomeni acula ngazo 
116,iawhum waterfall itholakala endaweni yasemaugwe edolobheni laseawhum endaweni yaseudi local government area eenugu state enigeria iawhum waterfall yakhiwa edwaleni elikhulu legranite ngokugeleza kwamanzi phezulu okwenza umfula enye ingxenye yokungena kwamanzi imvamisa ifudumele phakathi nezinkathi zonyaka impophoma yeawhum ingamamitha angama ukuphakama futhi itholakala ezungeze iawhum monastery
117,ushivaji jayanti chhatrapati shivaji maharaj uyeza kumele sazi ngenkosi enkulu eyaqala imaratha samrajya neswaraj yezwe ngakhoke nansi imininingwane yenkosi enkulu u shivaji maharaj bhonsle
118,inombolo yokuhlonza imoto ivin iyikhodi ehlukile kufaka phakathi inombolo yeserial esetshenziswa ngumkhakha wezimoto ukukhomba izimoto ngazinye izimoto ezihuduliwe izithuthuthu izithuthuthu kanye nemopeed njengoba kuchazwe kuiso  okuqukethwe nesakhiwo nakuiso  indawo nokunamathiselwe
119,ukusebenza kwamadivaysi eselula asebenzisa uhlelo lokusebenza lweandroid uhlelo olusetshenziswa kakhulu lweselula emhlabeni jikelele lungandiswa ngokusebenzisa izinhlelo zokusebenza  isoftware ekhethekile eyenzelwe ukunika abasebenzisi izindlela zokusebenzisa amadivaysi abo ngezinjongo ezithile ezingeziwe izinhlelo zokusebenza ezinjalo zihlanganiswa ngefomethi yefayela leapk yomdabu yeandroid evumela ukusatshalaliswa kalula kwezinhlelo zokusebenza kubasebenzisi bokugcina
120,inanda yilokishi elikwazulunatalkwazulunatali eningizimu afrika leligama elithi nanda lithathelwe egameni elithi nandisa lelilokishi lilawulwa umasipala wetheku abantu abagcwele kulendawo ngamazulu lelilokishi liyindabuko yabantu abanjengo john langalibalele dube kanye no mahatma gandhi ibandla lamanazaretha lasungulwa kulendawo
121,iqueensburgh yidolobha elikwazulunatalkwazulunatali eningizimu afrika ngonyaka ka amalokhishi amane imalvern iescombe inorthdene kanye nemoseley ahlanganiswa ukuze kwakheke idolobha elibizwa nge malvern ngonyaka ka leligama lashintshwa labuyiselwa kuleli elithi queensburgh 
122,izinkondlo zesiurdu iurdu    ur ur is isiko elicebile lezinkondlo futhi linezindlela eziningi ezahlukahlukene namuhla kuyingxenye ebalulekile yamasiko aseningizimu asia ngokusho kukanaseer turabi kunezimbongi ezinhlanu eziphezulu zaseurdu okuyimir taqi mir enmirzaghalibmirza ghalib mir anees allama iqbal nojosh malihabadi ulimi lwesiurdu lufinyelele encotsheni yalo ngaphansi kwebritish raj futhi lwathola isikhundla ngokusemthethweni bonke ababhali abadumile bolimi lwesiurdu kufaka phakathi ughalib noiqbal banikezwa izifundi zasebrithani  ngemuva kwepartition of india ngo ithole izimbongi ezinkulu kanye nezazi zahlukaniswa ngemigqa yobuzwe kodwake izinkondlo zesiurdu ziyaziswa ezizweni zombili bobabili amasulumane namahindu aqhamuka ngaphesheya komngcele aqhubeka nesiko
123,isiphambanakabili yigama lesizulu lophawu olusetshenziswa kakhulu manje ezinkundleni zokuxhumana ukusakazela umyalezo othile abanye abantu liyisihumusho segama lesingisi kudwetshwa ngemigqa emine ephambanayo noma ngeziphambano ezibili ezixhumene  ngesingisi kubizwa njengepound sign ihash noma inumber sign uphawu lwezibalo ezinkundleni zokuxhumana kwaziwa njengehashtag
124,uhlakalwazi igama elisetshenziswa ukuchaza indlela umuntu awazi ngayo umhlaba kucubungula imibono izinjulalwazi nezinto azazi ngokuzizwa ekuphileni komuntu imvamisa wukuthi uhlakalwazi lunye olutholakele emphakathini othile ngenxa yokuthi abantu abahlala bendawonye bejwayele ukuba nezinhlobo zenhlalo ezifanayo okusho ukuthi banemikhuba yokwazi engase ifana kancane
